asbDCiJsDOYfivsutfhCSPD?u?Q[?Waa{Gg}DPFoTC|mIAxYIBk]aERNaBEXFBdSPWZT@TTSF`TTSNHeu@OpK{`OXFx_WEW	4	4.5	4	0.64  ** On entry to DPOTRF parameter number  4 had an illegal value ** theta
aujDMIatLUZGmHb~Q~QDCHP?GbOaHRB?|GWSKEAjcGul_RkUaDMNCAlgihN`DTbxARlgCOvMOii`NM@TQMuCUqy@KBrV?bG	4	6.0004002 	4	0.64
asaLSiokNTYipfqZR{\]eGp?RGHsGXiO\EYDQXQb_dJMCJQGkiVC[TjkddMaowloJcdlo\`hzI\RWdaYkxBdiXVKOTXirGG	4	5.9383358 	4	0.64
asaMdbCiDTwnrkj[R\[mmWO`a@HkCYqA[Z@jDodpaoyISdpK\@nSmA^HsTTpYaiy\IIIXwSSUQX[x?XWzW_[dlRQdQfgwU_	4	5.9232688 	4	0.64
asbSUAaiCbQdj[itWZ}nuGK_PMai@w{aXiWF]KAbQWJBr@j\_Rf[gQz`[tIYhLLWPRM^?irAyGUzOb`LYw@l|KJoK^[d?Ko	4	6.0679373 	4	0.64
asiMSiOwCXSfowduq]vVrIKLMGZCc`WdXdIJ@NHArGHbdD]CXXaUb@]mq@SwYUVvMF`u`shJE`vKKdRMiSwHrRO\DSxzWA_	4	4.3753738 	4	0.64
asilUaadSosksXsbpv]^yCk?CcgwHZ?UOmCYWuAZBoRnGO}CEy\\OPxeT`|W~?[wWhvg@PZ[HqYweSOTvM?t}_c\SRThSao	4	5.9195598 	4	0.64
auec[iaqCByoi\beSLn~oBo@PGw]_zp_OakjAeWZAeLipaKILdJ\gaUJGxfWNUYkXBYzH?}mFBpa]?oq|SiGtFdUQ\gWePo	4	5.9749850 	4	0.64
aui[|B?`[F^a}aw^xnTfwGT@?iGh_WUO\qBEZ@QP]AFisG^TDJmIaf\@uDY_mOnPNOhIdYcWTa`TkDxQhqB|@zlYGG^VhP?	4	5.7419995 	4	0.64
aumC]EdotaONrFlhubm\LCBHaOJ@OXSAL@U\B{@g`y]HwA}LWQrUCMyFCFiqqS^eH}IY`MUWPphZEJJsUWJKnbSwGTVgeaG	4	6.0759053 	4	0.64
a|rDKqX`SDzImJxftzUlwDo?M_IGgXCS\obHYPPbi@VlSA}RWRMKwRL`NDqGbozDKamQLKSuCwqlBSwp[cjWeZfYAPfUxOO	4	5.7918182 	4	0.64
a}iCKeLtd[W]hY}@qZ[XzL_PM@IhOXU_WwRHUBPiE[HcepFEwIwFWDsmQcMzWSdv[GzoXhD^AOMtMwGLwvWOpiwLHQ\LB`g	4	5.9191065 	4	0.64
a}iDTqS`lAQluMxiPr{}eAQGk_JGgW^?X?nH[h@qkGkcND{@RU]DKfJITJMJosDZEsdqcE\jBjuAjkBSrWr`xEiIKP\hl?g	4	5.9990670 	4	0.64
asaKcYkdkuZBgvuHuNMKrxpcLUAJOhQFKp_|G{oyKJmn?pSTUQzMr`fDdFqil`jZTLW{pjsCczTQWwJ{ZALDzIYoM\kfQ_o	4	5.8771298 	4	0.64
