TsaCAdKKhYA_A_SAhA`DIHOgE@_o?y?{C`eC	6	7.75597663	10.5	0.7272727272727273
TsaCBdkQ`ggOH?Cg`giOSKDCA_oIAOO[KOUE	6	7.97674262	10.5	0.7272727272727273
T}mKmIaWJAIIII?y_mgY[CldQH@W`GKo{WFe	4	4.84109501	7	0.7272727272727273
T}qtUA_TQUEdIkCk`d_edBRP@_XBBGgU[ISu	4	5.40442752	7	0.7272727272727273
TvzDMUtvl}[oeX]dn`qnVJ{xjsrjYOe|[K~V	3	4.33786157	5.25	0.7272727272727273
T}nM\et~NuYSjPXzb}qkxS^OmZXRtrHL{ZF^	3	3.88570296	5.25	0.7272727272727273
T}n^^iz~Vt^N~ftyT}JFZXs{\tw|Vyi}{i}~	2	2.70758939	3.5	0.7272727272727273
T~zvVv|vl}]rzfu{VlGU~DN|JrxjZylm{nM~	2	2.63264129	3.5	0.7272727272727273
