]{fLmahqdgWCgOVcfpbPL[PpqWBWo?D{SD]TQJX`afK_YUA@JQBCYSh`MDgoSKXjD@cq{F_^e?	5	6.949988	10	0.6666666666666666
]{fLmahsLQWOh?PfcrqetJNThhBb`AC{Oc]P?xCGJCQJ?erM?reCHpJ@GsYWd`IxBQOms]?Fx_	5	6.949988	10	0.6666666666666666
]}mKmIbqdgWCgOTedra@|GVtyOBwOAIkCamDOjX`IfKbChHEOkKA`asa_qdgN?{NA[SxgPglf?	5	6.876362	10	0.6666666666666666
]unDnALbT_wTl?q_Dfq`}J`t]HblCBoe?Uk@AfO_FVfKIlVYYDk@Tt[hKpy@Iq^@CsMUgPaktW	5	6.800977	10	0.6666666666666666
]{b\uQoqLawShOe@i^`Zs]{@|gAP]xanWIZCDFQ?LkJ_xpU[dC[ZAgk?[\BWJIhNT?[jgi@p\W	5	6.937843	10	0.6666666666666666
]|~}|iRw^B^Uqu|bVFUXP`soptYJeyFYxGmzK^gZQtkNogVDi\UBkM|bhRt_ukYtHA]\{AVmNw	3	4.411119	6	0.6666666666666666
]~~DNVt|f[zkmxtiTyCsUfDHBlpJfYJrkbxmUBVhod}aSnfBO}u?vfL?frXZrKBNTdIR{mJOvw	3	4.324096	6	0.6666666666666666
]unnm}}}E|VxzS{k\WnhSq[YpqYa~hP~pZlbNZcqrcyfMLsPp^fHinZ?RnjWG||NPeqnkeVD|w	3	4.316554	6	0.6666666666666666
]~znm]ve[r[BsvjNztD}_|LJjKQonxo^w[lzEtlofur@n[q\iJVZsFjGLtlXBi{nPbwn[eVP}w	3	4.316554	6	0.6666666666666666
]~~ne}}`{N[rqVkNzTDy`ykjtHQEnxH^wTrvAy}qN{Qc~gs]iJZ^SFfAPnjWWl|NUBwn[wVP}w	3	4.362735	6	0.6666666666666666
