RsaCAs{B_kH_K`OgCgIOTKDT?y`Ay?	6	7.25562497	9.5	0.7741935483870968
R}ecZ@OH?o`W@gOWcI_`p?hkHL?GuG	4	5.24042975	6.33333333	0.7741935486368366
RujDMQoFg}BTFSO{ClJOi[AlCepEMW	4	5.09550939	6.33333333	0.7741935486368366
R}jLeA_RxniWJHOqCe?XJCo{WfgqN_	4	5.02788908	6.33333333	0.7741935486368366
RvzfNZquDoh}LySNDJWlTBtSQlwYfw	3	3.77892187	4.75	0.7741935483870968
R}n\vFcstXNW^H@z?}YayIMkLZwdzo	3	3.72877342	4.75	0.7741935483870968
R}~t}VF{TdtefRUnkzzZu]Zg^{xnmo	3	3.62565685	4.75	0.7741935483870968
R~z~~fkvl}XMkZS\dLwX~Cv|MtxmVw	2	2.61865795	3.16666667	0.7741935478876171
